area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P088/N30,Mentakab,Mentakab,Woo Chee Wan,Woo Chee Wan,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Mentakab,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P088/N31,Lanchang,Lanchang,Abas Awang,Abas bin Awang,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lanchang,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P088/N31,Lanchang,Lanchang,Hasan Omar,Hasan Bin Omar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lanchang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P088/N31,Lanchang,Lanchang,Mohd Khaidir Ahmad,Mohd Khaidir Bin Ahmad,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lanchang,,Independent,Bebas,,,,,,,,
P088/N31,Lanchang,Lanchang,Mohd Sharkar Shamsudin,Mohd Sharkar Bin Shamsudin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lanchang,,National Front,Barisan Nasional,UMNO,,,,,,,
P088/N32,Kuala Semantan,Kuala Semantan,Hassanuddin Salim,Hassanuddin Bin Salim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kuala Semantan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P088/N32,Kuala Semantan,Kuala Semantan,Nor Azmi Mat Ludin,Nor Azmi Bin Mat Ludin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kuala Semantan,,National Front,Barisan Nasional,UMNO,,,,,,,
P088/N32,Kuala Semantan,Kuala Semantan,Syed Hamid Syed Mohamed,Syed Hamid Bin Syed Mohamed,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kuala Semantan,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P089/N33,Bilut,Bilut,Lee Chin Chen,Lee Chin Chen,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bilut,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P089/N33,Bilut,Bilut,Mohd Zamri Nong,Mohd Zamri Bin Nong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bilut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P089/N33,Bilut,Bilut,Poo Mun Hoong,Poo Mun Hoong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bilut,,National Front,Barisan Nasional,MCA,,,,,,,
P089/N34,Ketari,Ketari,Lau Hoi Keong,Lau Hoi Keong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Ketari,,National Front,Barisan Nasional,GERAKAN,,,,,,,
P089/N34,Ketari,Ketari,Roslan Ms Esa,Roslan Bin Ms Esa,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Ketari,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P089/N34,Ketari,Ketari,Young Syefura Othman,Young Syefura Binti Othman,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Ketari,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P089/N35,Sabai,Sabai,Goonasakaren Raman,Goonasakaren A/L Raman,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sabai,,National Front,Barisan Nasional,MIC,,,,,,,
P089/N35,Sabai,Sabai,Kamache A Doray Rajoo\,Kamache A/P A Doray Rajoo\,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sabai,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P089/N35,Sabai,Sabai,Karunaneethi Thangavel,Karunaneethi A/L Thangavel,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sabai,,Independent,Bebas,,,,,,,,
P089/N35,Sabai,Sabai,Mohd Khairuddin Abdullah,Mohd Khairuddin Bin Abdullah,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sabai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
