area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P022/N13,Meranti,Meranti,Che Daud Che Man,Che Daud Che Man,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Meranti,,Independent,Bebas,,,,,,,,
P022/N13,Meranti,Meranti,Mohd Nassuruddin Daud,Mohd Nassuruddin Bin Daud,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Meranti,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P022/N13,Meranti,Meranti,Mohd Romizu Mohd Ali,Mohd Romizu Bin Mohd Ali,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Meranti,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P023/N14,Chetok,Chetok,Ali Abdu Rahman Hasan,Ali Abdu Rahman Bin Hasan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chetok,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P023/N14,Chetok,Chetok,Muhamamad Afifi Muhammad Noor,Muhamamad Afifi Bin Muhammad Noor,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chetok,,National Front,Barisan Nasional,UMNO,,,,,,,
P023/N14,Chetok,Chetok,Zakaria Hasan,Zakaria Bin Hasan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chetok,,Independent,Bebas,,,,,,,,
P023/N14,Chetok,Chetok,Zuraidin Abdullah,Zuraidin Bin Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chetok,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P023/N15,Gual Periok,Gual Periok,Ghazali Ismail,Ghazali Bin Ismail,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Gual Periok,,National Front,Barisan Nasional,UMNO,,,,,,,
P023/N15,Gual Periok,Gual Periok,Mohamad Awang,Mohamad Bin Awang,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Gual Periok,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P023/N15,Gual Periok,Gual Periok,Mohd Ridzuan Muhamad,Mohd Ridzuan Bin Muhamad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Gual Periok,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P023/N16,Apam Putra,Apam Putra,Abdul Rasul Mohamed,Abdul Rasul Bin Mohamed,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Apam Putra,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
